deviceId,flowId,state,priority,tableId,isPermanent,packets,bytes
of:000000000000000e,281478402973641,ADDED,40000,0,True,172,24080
of:000000000000000e,281475534880843,ADDED,40000,0,True,4185,175770
of:000000000000000e,21110625760149585,ADDED,10,0,False,1,98
of:000000000000000e,21110623446995410,PENDING_ADD,10,0,False,0,0
of:000000000000000e,21110623874394582,ADDED,10,0,False,1,98
of:000000000000000e,21110625672202840,ADDED,10,0,False,1,98
of:000000000000000e,21110626104025182,ADDED,10,0,False,1,98
of:000000000000000e,21110627296703456,ADDED,10,0,False,0,0
of:000000000000000e,21110627243856609,ADDED,10,0,False,1,98
of:000000000000000e,21110627013674339,ADDED,10,0,False,0,0
of:000000000000000e,21110626887107430,ADDED,10,0,False,1,98
of:000000000000000e,21110625160380009,ADDED,10,0,False,0,0
of:000000000000000e,21110627033982955,PENDING_ADD,10,0,False,0,0
of:000000000000000e,21110627220306925,ADDED,10,0,False,0,0
of:000000000000000e,281479223636081,ADDED,5,0,True,428,41944
of:000000000000000e,21110627016137203,ADDED,10,0,False,0,0
of:000000000000000e,21110623926154871,ADDED,10,0,False,0,0
of:000000000000000e,21110627138681464,ADDED,10,0,False,1,98
of:000000000000000f,281476162487044,ADDED,40000,0,True,6510,273420
of:000000000000000f,21110625428787725,ADDED,10,0,False,0,0
of:000000000000000f,21110625223606676,ADDED,10,0,False,1,98
of:000000000000000f,281477550077972,ADDED,5,0,True,779,76342
of:000000000000000f,21110626076651676,ADDED,10,0,False,1,98
of:000000000000000f,21110624550943785,ADDED,10,0,False,1,98
of:000000000000000f,21110624396022971,ADDED,10,0,False,1,98
of:000000000000000f,21110626208164036,ADDED,10,0,False,0,0
of:000000000000000f,281479243163245,ADDED,40000,0,True,344,48160
of:000000000000000f,281478619323375,ADDED,40000,0,True,344,48160
of:000000000000000f,21110626434732925,ADDED,10,0,False,0,0
of:0000000000000010,21110626775744899,ADDED,10,0,False,1,98
of:0000000000000010,21110626688399754,ADDED,10,0,False,1,98
of:0000000000000010,281476824493323,ADDED,40000,0,True,360,50400
of:0000000000000010,281477989602451,ADDED,40000,0,True,8458,355236
of:0000000000000010,21110626417594775,ADDED,10,0,False,1,98
of:0000000000000010,21110625010177559,ADDED,10,0,False,1,98
of:0000000000000010,21110627490671012,ADDED,10,0,False,1,98
of:0000000000000010,21110625264020779,ADDED,10,0,False,1,98
of:0000000000000010,21110625622372660,ADDED,10,0,False,1,98
of:0000000000000010,21110625411340480,ADDED,10,0,False,1,98
of:0000000000000010,21110624762726473,ADDED,10,0,False,1,98
of:0000000000000010,21110623900657102,ADDED,10,0,False,1,98
of:0000000000000010,21110625612254417,ADDED,10,0,False,1,98
of:0000000000000010,21110627230108762,ADDED,10,0,False,1,98
of:0000000000000010,281475990237152,ADDED,40000,0,True,360,50400
of:0000000000000010,21110626565023080,ADDED,10,0,False,1,98
of:0000000000000010,21110626637120874,ADDED,10,0,False,1,98
of:0000000000000010,281475452063725,ADDED,5,0,True,1912,187376
of:0000000000000010,21110623517423855,ADDED,10,0,False,1,98
of:0000000000000010,21110625017338865,ADDED,10,0,False,1,98
of:0000000000000010,21110626119859448,ADDED,10,0,False,1,98
of:0000000000000011,281476590404359,ADDED,40000,0,True,353,49420
of:0000000000000011,21110624596912781,ADDED,10,0,False,1,98
of:0000000000000011,21110627512075662,ADDED,10,0,False,1,98
of:0000000000000011,21110624249610513,ADDED,10,0,False,1,98
of:0000000000000011,281478208390418,ADDED,40000,0,True,353,49420
of:0000000000000011,21110626470066708,ADDED,10,0,False,1,98
of:0000000000000011,21110627531538326,ADDED,10,0,False,1,98
of:0000000000000011,21110626249875351,ADDED,10,0,False,1,98
of:0000000000000011,21110625231051678,ADDED,10,0,False,1,98
of:0000000000000011,21110624853957279,ADDED,10,0,False,1,98
of:0000000000000011,21110627182111265,ADDED,10,0,False,1,98
of:0000000000000011,21110626007717665,ADDED,10,0,False,1,98
of:0000000000000011,21110623742966948,ADDED,10,0,False,1,98
of:0000000000000011,21110626989188903,ADDED,10,0,False,1,98
of:0000000000000011,21110625754932648,ADDED,10,0,False,1,98
of:0000000000000011,21110626023045556,ADDED,10,0,False,1,98
of:0000000000000011,21110623438766260,ADDED,10,0,False,1,98
of:0000000000000011,21110624452434633,ADDED,10,0,False,1,98
of:0000000000000011,281475150780107,ADDED,40000,0,True,6547,274974
of:0000000000000011,21110624593513292,ADDED,10,0,False,1,98
of:0000000000000011,21110623751042380,ADDED,10,0,False,1,98
of:0000000000000011,21110627093916112,ADDED,10,0,False,1,98
of:0000000000000011,281478070165968,ADDED,5,0,True,783,76734
of:0000000000000011,21110625992310354,ADDED,10,0,False,1,98
of:0000000000000011,21110626021159897,ADDED,10,0,False,1,98
of:0000000000000011,21110623391165024,ADDED,10,0,False,1,98
of:0000000000000011,21110623654893538,ADDED,10,0,False,1,98
of:0000000000000011,21110627353464937,ADDED,10,0,False,1,98
of:0000000000000011,21110627341681385,ADDED,10,0,False,1,98
of:0000000000000011,21110624277446379,ADDED,10,0,False,1,98
of:0000000000000011,21110626097580144,ADDED,10,0,False,1,98
of:0000000000000011,21110623291611636,ADDED,10,0,False,1,98
of:0000000000000014,21110625445293952,PENDING_ADD,10,0,False,0,0
of:0000000000000014,21110623686556288,PENDING_ADD,10,0,False,0,0
of:0000000000000014,21110624593042689,ADDED,10,0,False,0,0
of:0000000000000014,21110623811417473,PENDING_ADD,10,0,False,0,0
of:0000000000000014,21110627196956802,PENDING_ADD,10,0,False,0,0
of:0000000000000014,21110626299924867,PENDING_ADD,10,0,False,0,0
of:0000000000000014,21110626414298627,PENDING_ADD,10,0,False,0,0
of:0000000000000014,21110623301368452,PENDING_ADD,10,0,False,0,0
of:0000000000000014,21110626048333828,PENDING_ADD,10,0,False,0,0
of:0000000000000014,21110625849221254,PENDING_ADD,10,0,False,0,0
of:0000000000000014,21110627201321095,PENDING_ADD,10,0,False,0,0
of:0000000000000014,21110624705436680,PENDING_ADD,10,0,False,0,0
of:0000000000000014,21110624333621129,PENDING_ADD,10,0,False,0,0
of:0000000000000014,21110627493745546,PENDING_ADD,10,0,False,0,0
of:0000000000000014,21110624975912717,PENDING_ADD,10,0,False,0,0
of:0000000000000014,21110625199757198,PENDING_ADD,10,0,False,0,0
of:0000000000000014,21110625218336919,ADDED,10,0,False,0,0
of:0000000000000014,21110623301890071,PENDING_ADD,10,0,False,0,0
of:0000000000000014,21110624599134999,PENDING_ADD,10,0,False,0,0
of:0000000000000014,21110625585479448,PENDING_ADD,10,0,False,0,0
of:0000000000000014,21110627190907930,ADDED,10,0,False,0,0
of:0000000000000014,21110623772957981,PENDING_ADD,10,0,False,0,0
of:0000000000000014,21110625670785438,PENDING_ADD,10,0,False,0,0
of:0000000000000014,21110624813992607,PENDING_ADD,10,0,False,0,0
of:0000000000000014,21110624781579167,PENDING_ADD,10,0,False,0,0
of:0000000000000014,21110626422092578,PENDING_ADD,10,0,False,0,0
of:0000000000000014,21110626892218276,PENDING_ADD,10,0,False,0,0
of:0000000000000014,21110626793257892,PENDING_ADD,10,0,False,0,0
of:0000000000000014,21110625044346277,ADDED,10,0,False,0,0
of:0000000000000014,21110623432539430,PENDING_ADD,10,0,False,0,0
of:0000000000000014,21110625525640102,PENDING_ADD,10,0,False,0,0
